location,month,month_name,temperature_c,rainfall_mm,humidity_pct
Gicumbi,11,November,21.4,215.9,75.9
Gicumbi,12,December,20.2,205.9,76.3
Gisagara,1,January,21.2,31.4,67.6
Gisagara,2,February,20.0,40.5,68.5
Gisagara,3,March,18.8,492.1,78.7
Gisagara,4,April,18.5,475.7,78.0
Gisagara,5,May,19.2,632.2,79.2
Gisagara,6,June,19.6,29.0,68.1
Gisagara,7,July,21.4,24.0,67.1
Gisagara,8,August,23.0,35.2,67.5
Gisagara,9,September,24.0,184.5,78.2
Gisagara,10,October,24.2,178.9,78.5
Gisagara,11,November,23.8,199.9,78.4
Gisagara,12,December,23.1,199.1,78.0
Huye,1,January,21.2,33.6,69.5
Huye,2,February,19.7,37.0,69.6
Huye,3,March,18.6,590.4,78.8
Huye,4,April,18.1,489.0,81.0
Huye,5,May,18.7,516.4,80.4
Huye,6,June,19.5,34.4,69.7
Huye,7,July,21.1,35.5,69.8
Huye,8,August,22.6,36.1,69.6
Huye,9,September,23.8,206.4,79.3
Huye,10,October,24.1,212.8,79.4
Huye,11,November,23.7,241.3,79.7
Huye,12,December,22.4,214.3,79.5
Kamonyi,1,January,21.4,36.7,67.1
Kamonyi,2,February,19.9,27.7,66.2
Kamonyi,3,March,18.8,470.7,76.3
Kamonyi,4,April,19.1,495.9,76.7
Kamonyi,5,May,19.4,515.6,75.7
Kamonyi,6,June,20.4,27.4,66.7
Kamonyi,7,July,21.8,39.0,65.7
Kamonyi,8,August,23.4,34.0,66.4
Kamonyi,9,September,24.3,193.7,75.8
Kamonyi,10,October,24.8,209.8,76.4
Kamonyi,11,November,24.3,194.5,76.0
Kamonyi,12,December,23.7,219.6,75.9
Karongi,1,January,22.4,32.4,70.7
Karongi,2,February,20.8,34.5,70.5
Karongi,3,March,19.6,480.5,79.5
Karongi,4,April,19.6,544.5,80.8
Karongi,5,May,19.6,562.1,79.9
Karongi,6,June,21.1,29.2,70.6
Karongi,7,July,22.4,28.9,70.8
Karongi,8,August,24.0,34.3,70.3
Karongi,9,September,24.8,175.9,79.6
Karongi,10,October,25.3,206.0,79.5
Karongi,11,November,25.2,214.5,79.8
Karongi,12,December,24.1,207.2,80.7
Kayonza,1,January,23.4,20.1,62.1
Kayonza,2,February,22.1,25.4,61.8
Kayonza,3,March,20.8,347.9,71.7
Kayonza,4,April,20.7,379.3,72.2
Kayonza,5,May,20.8,389.8,72.4
Kayonza,6,June,21.8,21.0,61.6
Kayonza,7,July,23.8,27.0,62.7
Kayonza,8,August,24.5,17.5,62.7
Kayonza,9,September,26.1,173.8,71.8
Kayonza,10,October,26.4,172.8,72.5
Kayonza,11,November,26.3,143.2,71.6
Kayonza,12,December,24.9,160.0,71.3
Kicukiro,1,January,22.2,31.2,64.6
Kicukiro,2,February,21.0,29.6,63.4
Kicukiro,3,March,19.7,435.6,74.3
Kicukiro,4,April,19.7,393.3,73.0
Kicukiro,5,May,19.6,427.1,74.5
Kicukiro,6,June,21.0,29.5,63.5
Kicukiro,7,July,22.4,31.6,65.3
Kicukiro,8,August,23.6,26.0,64.6
Kicukiro,9,September,24.8,185.1,73.8
Kicukiro,10,October,25.1,162.9,74.4
Kicukiro,11,November,24.9,178.7,74.1
Kicukiro,12,December,23.7,183.4,74.6
Kirehe,1,January,24.1,26.6,60.0
Kirehe,2,February,23.0,26.0,59.2
Kirehe,3,March,21.6,305.2,69.5
Kirehe,4,April,21.4,300.8,69.4
Kirehe,5,May,22.0,322.6,69.1
Kirehe,6,June,22.8,20.0,58.9
Kirehe,7,July,24.1,20.6,60.3
Kirehe,8,August,25.8,21.5,57.9
Kirehe,9,September,26.6,108.2,69.2
Kirehe,10,October,27.0,108.5,68.9
Kirehe,11,November,26.8,109.2,69.1
Kirehe,12,December,25.6,133.9,68.5
Muhanga,1,January,21.0,35.3,68.4
Muhanga,2,February,19.2,24.7,67.0
Muhanga,3,March,18.2,498.7,77.7
Muhanga,4,April,17.9,533.6,78.2
Muhanga,5,May,18.1,511.5,77.9
Muhanga,6,June,18.9,27.3,67.3
Muhanga,7,July,20.8,29.3,66.9
Muhanga,8,August,22.2,29.3,68.0
Muhanga,9,September,23.5,209.8,76.9
Muhanga,10,October,23.5,186.0,77.7
Muhanga,11,November,23.1,238.3,78.6
Muhanga,12,December,22.1,195.7,77.9
Musanze,1,January,19.4,39.7,68.0
Musanze,2,February,17.8,33.3,67.4
Musanze,3,March,16.7,515.8,77.0
Musanze,4,April,16.5,526.3,77.5
Musanze,5,May,17.0,633.1,77.0
Musanze,6,June,17.6,44.8,67.2
Musanze,7,July,19.3,45.2,66.9
Musanze,8,August,20.9,42.6,66.9
Musanze,9,September,21.8,198.3,76.9
Musanze,10,October,22.8,293.2,77.3
Musanze,11,November,21.6,239.5,77.0
Musanze,12,December,20.9,197.8,77.1
Ngoma,1,January,22.6,24.3,62.4
Ngoma,2,February,21.5,21.4,61.2
Ngoma,3,March,20.2,425.3,71.3
Ngoma,4,April,20.0,368.5,71.7
Ngoma,5,May,20.6,372.0,71.6
Ngoma,6,June,21.3,22.2,62.1
Ngoma,7,July,22.9,17.8,60.9
Ngoma,8,August,24.5,30.5,61.4
Ngoma,9,September,25.5,150.8,72.7
Ngoma,10,October,25.9,159.0,71.4
Ngoma,11,November,25.7,167.5,71.9
Ngoma,12,December,24.2,135.8,72.7
Ngororero,1,January,21.3,47.7,67.9
Ngororero,2,February,19.5,41.1,67.0
Ngororero,3,March,18.6,577.8,76.5
Ngororero,4,April,17.7,463.0,77.1
Ngororero,5,May,18.5,606.9,77.7
Ngororero,6,June,19.7,30.2,67.3
Ngororero,7,July,21.0,44.7,66.4
Ngororero,8,August,22.4,33.0,67.1
Ngororero,9,September,23.7,270.0,76.6
Ngororero,10,October,23.9,244.5,76.7
Ngororero,11,November,23.6,232.3,77.6
Ngororero,12,December,22.4,190.0,78.0
Nyabihu,1,January,19.3,43.3,68.8
Nyabihu,2,February,17.7,34.4,68.5
Nyabihu,3,March,16.7,673.2,79.2
Nyabihu,4,April,16.6,667.3,79.8
Nyabihu,5,May,17.0,606.4,78.9
Nyabihu,6,June,18.1,37.3,69.2
Nyabihu,7,July,19.2,49.9,70.1
Nyabihu,8,August,20.9,24.9,69.9
Nyabihu,9,September,22.1,214.9,79.5
Nyabihu,10,October,22.2,249.7,79.1
Nyabihu,11,November,21.8,313.4,79.4
Nyabihu,12,December,20.9,236.2,78.7
Nyagatare,1,January,23.8,17.8,60.4
Nyagatare,2,February,22.5,15.0,59.2
Nyagatare,3,March,21.5,269.5,69.4
Nyagatare,4,April,21.1,303.2,70.2
Nyagatare,5,May,21.5,295.2,69.8
Nyagatare,6,June,22.2,21.2,60.3
Nyagatare,7,July,24.3,23.9,59.5
Nyagatare,8,August,25.5,18.5,59.8
Nyagatare,9,September,26.7,136.6,69.6
Nyagatare,10,October,26.9,143.2,70.1
Nyagatare,11,November,26.5,114.8,70.4
Nyagatare,12,December,25.5,131.2,69.6
Nyamagabe,1,January,20.1,35.7,69.9
Nyamagabe,2,February,19.1,31.6,69.5
Nyamagabe,3,March,17.6,605.6,80.4
Nyamagabe,4,April,17.2,545.7,79.1
Nyamagabe,5,May,17.9,641.9,81.1
Nyamagabe,6,June,18.8,29.5,70.0
Nyamagabe,7,July,20.4,44.7,70.3
Nyamagabe,8,August,21.8,33.6,69.7
Nyamagabe,9,September,22.6,240.8,79.9
Nyamagabe,10,October,23.4,298.1,79.7
Nyamagabe,11,November,22.6,224.4,79.8
Nyamagabe,12,December,21.9,209.3,80.7
Nyamasheke,1,January,22.4,40.2,70.5
Nyamasheke,2,February,21.1,45.3,71.1
Nyamasheke,3,March,20.1,606.2,79.7
Nyamasheke,4,April,19.9,541.1,79.4
Nyamasheke,5,May,19.9,580.7,80.0
Nyamasheke,6,June,21.1,35.6,70.0
Nyamasheke,7,July,22.6,37.1,69.9
Nyamasheke,8,August,24.2,35.1,69.7
Nyamasheke,9,September,25.2,217.6,80.5
Nyamasheke,10,October,25.6,208.1,80.5
Nyamasheke,11,November,25.0,238.6,80.5
Nyamasheke,12,December,23.8,241.1,79.9
Nyanza,1,January,21.3,36.0,69.0
Nyanza,2,February,20.2,26.7,68.8
Nyanza,3,March,18.5,503.8,79.0
Nyanza,4,April,18.1,497.9,79.1
Nyanza,5,May,18.5,563.6,78.9
Nyanza,6,June,19.5,28.6,68.8
Nyanza,7,July,21.1,45.1,68.8
Nyanza,8,August,22.8,27.5,68.4
Nyanza,9,September,23.9,193.0,78.8
Nyanza,10,October,24.0,232.0,79.1
Nyanza,11,November,23.7,229.3,79.8
Nyanza,12,December,22.5,215.9,78.8
Nyarugenge,1,January,22.2,21.4,64.7
Nyarugenge,2,February,20.4,26.5,64.1
Nyarugenge,3,March,19.8,439.9,75.7
Nyarugenge,4,April,19.6,484.7,75.9
Nyarugenge,5,May,19.8,511.7,74.9
Nyarugenge,6,June,20.4,29.1,65.5
Nyarugenge,7,July,22.6,42.8,65.3
Nyarugenge,8,August,23.6,42.2,63.5
Nyarugenge,9,September,24.8,176.3,74.7
Nyarugenge,10,October,25.1,199.9,74.6
Nyarugenge,11,November,25.1,217.6,75.5
Nyarugenge,12,December,23.7,196.2,75.9
Nyaruguru,1,January,20.2,42.1,69.2
Nyaruguru,2,February,18.7,31.6,68.4
Nyaruguru,3,March,17.8,599.4,78.4
Nyaruguru,4,April,17.5,488.2,78.7
Nyaruguru,5,May,17.5,613.3,78.6
Nyaruguru,6,June,18.8,32.4,68.9
Nyaruguru,7,July,20.2,30.4,69.0
Nyaruguru,8,August,21.6,37.5,69.7
Nyaruguru,9,September,23.2,194.3,79.0
Nyaruguru,10,October,23.0,282.9,79.5
Nyaruguru,11,November,23.0,235.4,77.7
Nyaruguru,12,December,21.5,200.1,78.8
Rubavu,1,January,23.0,35.0,73.4
Rubavu,2,February,21.1,20.5,73.5
Rubavu,3,March,20.4,439.7,83.2
Rubavu,4,April,19.8,487.0,83.4
Rubavu,5,May,20.2,537.8,83.4
Rubavu,6,June,21.6,26.7,74.0
Rubavu,7,July,22.8,32.4,71.9
Rubavu,8,August,24.5,33.5,72.0
Rubavu,9,September,25.5,208.9,83.6
Rubavu,10,October,25.8,203.3,82.7
Rubavu,11,November,25.9,164.7,83.0
Rubavu,12,December,24.5,257.9,83.3
Ruhango,1,January,21.5,24.6,67.3
Ruhango,2,February,20.0,27.4,67.9
Ruhango,3,March,18.8,540.8,78.1
Ruhango,4,April,18.6,513.1,78.2
Ruhango,5,May,18.7,515.7,78.3
Ruhango,6,June,19.6,27.4,68.4
Ruhango,7,July,21.1,36.0,68.3
Ruhango,8,August,22.9,28.8,67.9
Ruhango,9,September,24.1,217.0,77.6
Ruhango,10,October,24.2,198.4,77.8
Ruhango,11,November,24.0,228.6,78.0
Ruhango,12,December,22.8,210.5,78.4
Rulindo,1,January,20.2,39.9,66.7
Rulindo,2,February,18.7,33.9,66.1
Rulindo,3,March,17.3,524.6,75.6
Rulindo,4,April,16.7,491.6,75.6
Rulindo,5,May,17.4,555.6,75.0
Rulindo,6,June,18.9,47.6,65.6
Rulindo,7,July,20.4,30.3,65.8
Rulindo,8,August,21.6,39.9,65.9
Rulindo,9,September,22.4,240.2,76.5
Rulindo,10,October,23.0,231.2,76.4
Rulindo,11,November,22.6,271.5,75.2
Rulindo,12,December,21.6,232.1,75.5
Rusizi,1,January,22.8,32.5,71.3
Rusizi,2,February,21.4,25.2,70.6
Rusizi,3,March,20.0,551.2,80.7
Rusizi,4,April,19.8,493.0,81.0
Rusizi,5,May,20.1,519.1,80.4
Rusizi,6,June,21.6,29.5,70.5
Rusizi,7,July,22.7,37.5,71.3
Rusizi,8,August,24.2,23.1,71.4
Rusizi,9,September,25.4,181.9,81.6
Rusizi,10,October,25.8,235.6,81.6
Rusizi,11,November,25.1,215.8,80.8
Rusizi,12,December,24.1,178.7,81.3
Rutsiro,1,January,21.5,34.0,67.6
Rutsiro,2,February,20.3,26.2,68.3
Rutsiro,3,March,19.1,611.0,78.2
Rutsiro,4,April,18.5,478.5,79.2
Rutsiro,5,May,18.9,573.2,78.2
Rutsiro,6,June,20.2,30.5,68.9
Rutsiro,7,July,21.5,42.6,68.1
Rutsiro,8,August,23.0,37.0,67.5
Rutsiro,9,September,24.2,179.1,77.3
Rutsiro,10,October,24.3,217.6,78.0
Rutsiro,11,November,24.1,215.6,79.0
Rutsiro,12,December,22.9,231.8,77.1
Rwamagana,1,January,23.4,23.8,62.9
Rwamagana,2,February,21.5,25.9,62.8
Rwamagana,3,March,20.5,419.3,73.0
Rwamagana,4,April,20.3,401.5,73.6
Rwamagana,5,May,20.4,426.8,73.7
Rwamagana,6,June,21.1,27.2,63.1
Rwamagana,7,July,23.0,30.2,61.8
Rwamagana,8,August,24.3,29.5,62.3
Rwamagana,9,September,25.7,178.5,73.0
Rwamagana,10,October,26.1,175.4,73.2
Rwamagana,11,November,25.8,167.8,72.8
Rwamagana,12,December,24.7,176.2,72.3
