N,P,K,temperature,humidity,ph,rainfall,elevation,slope,aspect,water_holding_capacity,wind_speed,solar_radiation,ec,zn,soil_texture,label
82.98,79.61,20.21,22.0401208,65.843411,6.22,918.36,1966.52,11.32,107.11,0.66,2.63,17.46,0.51,1.33,Sandy Clay,Sorghum
83.62,17.92,63.53,18.618640799999998,64.127611,6.44,1049.2,1522.26,8.27,207.56,0.7,4.28,14.99,0.58,2.35,Loam,Irish Potatoes
101.62,55.82,45.74,21.249080799999998,63.134561,6.34,1184.59,1797.04,6.02,100.6,0.84,3.95,15.26,0.26,1.26,Sandy Loam,Bananas
81.33,67.06,27.12,17.711340800000002,77.226961,6.42,971.07,1380.91,11.89,273.68,0.83,3.6,16.81,0.44,2.25,Sandy Clay,Irish Potatoes
115.49,39.6,61.32,21.558960799999998,65.51121099999999,5.57,1005.92,1447.1,11.21,229.92,0.67,4.73,14.95,0.58,2.29,Sandy Loam,Maize
80.38,75.01,76.73,21.634480800000002,64.16006100000001,6.04,1025.69,1589.34,2.61,88.82,0.72,4.28,18.32,0.51,1.53,Sandy Clay,Soybeans
85.02,16.44,36.06,22.500760800000002,68.327261,6.32,969.13,1426.2,8.94,85.75,0.83,4.9,13.63,0.42,1.4,Sandy Clay,Sorghum
108.01,16.26,27.65,22.7396408,71.43901100000001,5.51,1099.48,1491.76,16.5,33.44,0.59,3.52,15.38,0.4,2.09,Loam,Rice
84.32,19.2,92.07,22.7658608,65.255511,6.9,1062.78,1588.65,6.28,183.92,0.73,3.25,14.58,0.57,2.01,Sandy,Soybeans
90.16,17.21,93.03,17.1313808,72.774911,6.25,1152.66,1655.89,11.23,65.5,0.78,4.04,18.44,0.35,2.47,Loam,Irish Potatoes
94.91,59.93,76.19,21.2828408,68.438411,6.04,913.36,1950.16,3.76,232.78,0.65,3.41,17.68,0.34,1.89,Sandy Loam,Sorghum
76.56,19.65,20.66,21.1569608,79.94326099999999,6.96,1008.33,1428.1,5.86,269.04,0.76,2.65,13.58,0.56,1.79,Sandy,Beans
118.97,52.94,29.62,20.134200800000002,62.472961,5.83,1146.27,1519.48,2.4,70.17,0.71,3.17,15.63,0.44,2.03,Loam,Coffee
64.24,78.93,36.58,20.917840799999997,76.812211,6.47,1002.12,1597.66,5.29,289.13,0.84,3.57,14.21,0.42,1.71,Clay Loam,Sweet Potatoes
103.95,57.07,49.02,21.621940799999997,63.449561,6.08,1207.59,1790.61,6.63,137.53,0.62,3.48,18.62,0.6,1.24,Loam,Bananas
55.98,77.83,84.12,21.0405008,66.12216099999999,5.68,890.11,1416.33,8.09,257.37,0.83,2.69,13.31,0.23,1.29,Sandy,Sweet Potatoes
50.36,66.88,66.31,22.827740799999997,71.080311,6.8,917.74,1482.71,17.17,277.98,0.6,2.62,14.56,0.26,1.67,Sandy Clay,Cassava
109.43,45.78,22.68,19.499380799999997,77.133261,6.45,1148.33,1841.89,2.65,186.53,0.56,4.95,18.23,0.32,2.56,Loam,Coffee
99.78,56.55,41.94,22.6115408,70.202961,6.46,1272.27,1975.81,12.77,96.42,0.64,4.2,18.03,0.23,2.78,Sandy Loam,Rice
43.98,77.2,96.32,21.9003608,70.373811,6.59,816.44,1906.4,6.22,130.86,0.61,3.56,15.13,0.54,2.81,Loam,Cassava
126.38,67.85,76.21,22.3862408,65.46296099999999,6.55,958.27,1468.46,5.3,91.82,0.78,3.41,13.82,0.24,1.33,Sandy,Maize
110.64,73.47,52.32,20.2534408,75.779861,6.16,1203.65,1374.86,9.87,107.12,0.71,3.69,16.22,0.21,1.47,Sandy,Coffee
87.56,20.86,93.4,23.4826608,65.290661,5.64,1175.81,1425.25,14.57,29.5,0.56,3.14,13.62,0.47,2.78,Sandy Loam,Rice
88.0,12.26,39.31,21.7040808,74.61286100000001,6.21,1022.25,1774.54,9.57,61.6,0.76,3.41,18.81,0.48,1.36,Loam,Soybeans
108.51,42.24,37.36,21.0450208,63.931461,6.73,1091.97,1644.07,17.25,66.49,0.78,4.58,14.72,0.36,1.4,Loam,Maize
99.69,19.2,87.0,19.658020800000003,66.707511,6.05,1023.18,1532.57,14.87,13.27,0.61,4.71,15.94,0.28,1.98,Sandy Loam,Coffee
104.28,46.89,74.22,24.2926408,66.734961,7.0,1206.67,1300.26,17.04,175.46,0.78,4.33,13.78,0.35,1.79,Sandy,Rice
102.86,31.49,85.16,21.5790608,77.356811,6.71,1185.04,1827.05,16.72,25.51,0.8,4.73,14.55,0.49,2.17,Sandy Loam,Bananas
82.05,19.45,92.49,19.9103608,66.39986099999999,6.82,995.65,1976.4,15.96,130.45,0.72,2.59,15.24,0.25,1.13,Clay Loam,Beans
114.55,73.5,76.05,22.458540799999998,81.702111,5.76,1058.1,1807.31,15.8,61.97,0.77,3.22,18.93,0.56,2.03,Loam,Maize
113.08,51.75,55.38,23.1676608,71.682761,6.04,966.23,1587.75,4.1,130.14,0.64,3.76,14.68,0.35,1.57,Loam,Maize
41.42,65.47,25.73,23.592980800000003,74.02596100000001,5.51,848.87,1655.09,8.62,184.32,0.69,3.74,13.4,0.26,2.67,Loam,Cassava
77.58,15.02,41.5,17.0973008,75.20621100000001,6.21,1074.92,1842.93,3.14,118.21,0.81,4.33,16.28,0.46,2.44,Sandy Clay,Irish Potatoes
75.01,20.72,43.98,22.4085408,66.744761,6.0,1024.63,1472.31,17.3,228.95,0.78,4.09,18.36,0.27,1.68,Loam,Beans
40.92,66.21,45.93,24.397240800000002,75.185811,6.42,854.84,1627.96,5.83,324.17,0.76,4.89,18.46,0.25,2.08,Sandy,Cassava
81.4,33.63,41.34,16.0804008,72.985811,6.53,1074.84,1621.38,4.95,353.46,0.66,2.86,18.69,0.37,1.7,Sandy Loam,Irish Potatoes
83.46,56.63,72.49,16.3839008,76.59486100000001,6.48,1018.65,1649.63,15.0,69.11,0.61,2.99,17.29,0.32,1.94,Loam,Irish Potatoes
40.61,31.16,61.32,24.241980799999997,80.57896099999999,6.09,875.47,1605.59,9.01,112.52,0.83,2.75,14.7,0.22,2.87,Sandy Loam,Cassava
82.46,40.04,74.82,21.3389008,81.866061,5.64,1048.89,1982.13,17.94,261.18,0.84,4.39,16.62,0.38,1.05,Clay Loam,Soybeans
97.05,66.84,53.77,24.0746008,65.351361,6.3,1221.95,1344.28,14.73,91.78,0.66,3.11,13.17,0.5,1.59,Sandy Clay,Rice
88.38,41.34,70.76,20.941940799999998,61.664811,6.09,912.64,1595.61,15.25,192.15,0.67,2.83,15.74,0.54,1.49,Loam,Sorghum
68.84,28.51,24.54,23.3552008,65.951161,5.78,947.91,1348.98,3.76,248.73,0.58,4.19,17.6,0.22,1.3,Sandy Clay,Sweet Potatoes
87.79,67.16,56.41,21.034040800000003,76.316011,6.45,1070.88,1469.56,4.33,210.47,0.75,2.53,15.42,0.36,2.66,Loam,Beans
87.27,21.63,67.48,18.6966008,80.574461,5.68,1116.57,1678.28,10.97,112.57,0.76,3.64,16.06,0.31,1.17,Loam,Beans
100.41,70.87,83.87,19.596480800000002,69.255061,5.73,1170.69,1733.34,10.06,157.39,0.58,4.29,18.02,0.55,2.89,Sandy Loam,Coffee
86.81,39.68,69.45,21.2011008,80.596311,6.12,926.94,1561.03,11.29,299.83,0.64,3.48,18.4,0.42,1.94,Clay Loam,Sorghum
84.04,13.04,43.99,17.3819408,72.083611,6.58,990.4,1345.61,7.67,258.29,0.57,4.55,17.48,0.45,1.37,Loam,Irish Potatoes
94.82,23.12,41.5,22.3380008,73.368311,6.22,947.34,1877.58,10.17,241.28,0.63,4.54,14.26,0.28,2.23,Sandy,Sorghum
85.31,42.8,36.26,20.7620208,65.77111099999999,5.83,1051.9,1800.57,10.07,352.41,0.6,3.89,17.5,0.55,1.22,Sandy,Soybeans
108.71,79.13,64.01,22.8560608,65.201161,6.48,1125.91,1543.55,6.31,299.34,0.75,2.71,17.26,0.25,1.3,Sandy Clay,Rice
41.35,46.87,40.08,23.3236408,81.001911,6.91,946.06,1854.76,14.34,259.06,0.85,2.58,16.45,0.31,2.33,Sandy Clay,Cassava
60.59,59.59,51.26,20.2351208,65.769261,5.63,957.53,1829.02,2.86,168.81,0.76,3.88,13.14,0.42,1.99,Sandy,Sweet Potatoes
66.0,77.7,41.17,20.6988408,63.924811,6.57,964.64,1547.16,6.32,221.3,0.63,3.29,15.95,0.23,2.11,Sandy,Sweet Potatoes
97.36,20.51,37.27,21.764840799999998,81.372211,6.75,1156.12,1939.16,11.41,124.67,0.69,3.67,13.24,0.45,2.91,Clay Loam,Rice
106.69,12.99,98.26,23.454100800000003,73.348361,6.52,1157.35,1429.53,2.79,23.24,0.85,3.57,14.55,0.27,1.44,Sandy Clay,Rice
115.64,25.42,67.72,19.499380799999997,65.258461,6.27,1199.37,1421.89,3.73,111.03,0.84,3.12,17.61,0.26,1.44,Sandy Clay,Coffee
58.87,12.15,85.94,22.7464408,65.349211,6.06,1043.52,1718.36,5.86,148.73,0.84,4.95,13.04,0.41,2.22,Sandy Clay,Sweet Potatoes
97.44,79.8,70.12,22.8898608,67.387161,6.02,1005.11,1666.65,8.26,143.8,0.71,2.85,14.33,0.5,2.06,Sandy,Sorghum
47.0,63.7,96.15,23.3131808,64.119061,6.35,805.49,1724.99,17.29,302.65,0.69,2.96,13.1,0.38,2.41,Sandy,Cassava
88.66,50.14,31.12,23.0026208,75.431311,6.21,961.94,1440.27,13.73,0.84,0.61,3.52,18.64,0.21,1.36,Clay Loam,Sorghum
93.33,16.13,46.67,22.5147008,81.31071100000001,6.25,1155.82,1944.23,11.67,22.78,0.72,4.94,15.48,0.53,1.36,Sandy Clay,Rice
76.0,43.36,67.95,19.7094408,61.314661,6.12,1048.61,1831.86,13.25,120.76,0.6,3.34,18.17,0.29,2.42,Sandy Loam,Beans
117.47,36.35,48.31,22.8074008,61.370111,5.66,923.7,1407.88,11.28,57.05,0.82,3.02,14.75,0.31,1.44,Sandy,Maize
115.12,20.51,53.57,20.9654608,67.07601100000001,5.56,1038.88,1403.85,10.21,89.84,0.57,4.12,14.58,0.54,2.03,Loam,Coffee
85.84,51.9,61.39,23.6227408,77.144711,6.03,914.62,1585.21,3.84,68.63,0.71,3.98,16.23,0.37,2.11,Sandy Clay,Sorghum
65.45,12.76,26.04,22.3359608,63.516161000000004,6.03,984.91,1903.6,16.87,134.7,0.81,3.81,16.18,0.27,2.65,Sandy Loam,Sweet Potatoes
104.08,52.95,53.45,22.2988008,65.577161,6.28,1245.11,1467.18,14.36,331.83,0.7,4.52,15.49,0.32,2.25,Sandy Loam,Bananas
107.33,24.33,68.7,19.8745808,75.905411,6.79,1178.76,1484.29,3.31,66.39,0.69,4.8,17.64,0.48,1.95,Loam,Coffee
88.35,59.83,54.33,23.049940799999998,73.04301099999999,6.78,1278.28,1326.61,9.11,184.3,0.79,3.74,14.31,0.57,2.42,Clay Loam,Bananas
88.67,67.19,28.42,24.4242008,62.413161,6.61,1268.31,1364.48,8.24,109.27,0.59,4.63,18.85,0.36,1.09,Sandy Clay,Bananas
44.39,23.47,78.33,23.3319608,70.31656100000001,6.46,874.99,1840.6,13.52,116.46,0.74,2.85,14.39,0.29,1.27,Sandy,Cassava
42.99,62.75,74.14,24.3885608,72.339911,6.61,913.66,1667.3,5.04,3.8,0.74,3.09,15.43,0.38,2.75,Sandy Loam,Cassava
111.88,18.5,42.55,19.4745208,67.632061,5.7,1186.09,1714.32,5.09,246.37,0.59,4.28,17.09,0.56,1.55,Sandy Clay,Coffee
94.32,76.37,32.41,21.0479008,73.31101100000001,6.0,957.88,1877.63,6.51,334.05,0.69,4.31,17.48,0.4,1.86,Sandy Loam,Sorghum
64.03,35.01,56.0,21.0585208,76.584711,6.25,936.62,1922.32,6.26,14.01,0.81,3.22,16.51,0.35,1.78,Loam,Sweet Potatoes
50.09,71.93,59.28,23.7585208,79.180961,6.34,855.87,1622.32,8.75,159.18,0.82,2.66,17.78,0.38,1.17,Sandy,Cassava
129.61,22.41,39.0,23.156860799999997,61.562961,5.98,1052.27,1513.15,6.38,330.07,0.7,4.32,14.67,0.28,2.23,Clay Loam,Maize
77.46,19.0,21.95,17.7392008,70.94126100000001,5.56,1065.93,1921.98,12.13,323.67,0.77,4.72,13.18,0.45,2.8,Sandy Clay,Irish Potatoes
84.93,47.33,53.57,17.545360799999997,63.646811,6.52,1017.04,1863.9,15.14,69.48,0.62,3.93,13.86,0.4,1.36,Loam,Irish Potatoes
83.38,45.08,36.75,16.9520808,81.420711,5.74,1031.82,1665.54,17.75,262.17,0.79,3.66,13.72,0.44,2.51,Sandy Clay,Irish Potatoes
56.02,70.58,53.85,24.6999808,77.524061,5.69,924.49,1301.59,12.22,257.77,0.59,4.42,14.43,0.4,1.64,Sandy,Sweet Potatoes
83.81,32.79,79.02,21.1792008,63.538911,5.76,1049.46,1771.98,17.68,3.64,0.77,2.76,15.88,0.31,2.71,Sandy,Beans
84.12,41.03,37.52,21.4713408,74.695961,5.56,1098.87,1390.91,11.01,323.65,0.63,3.79,17.82,0.39,1.82,Loam,Beans
76.21,76.0,95.56,17.5858008,75.566811,5.68,1097.04,1463.68,16.03,72.07,0.6,2.9,14.85,0.34,1.07,Sandy Loam,Irish Potatoes
51.88,23.99,68.84,22.6025408,72.63256100000001,6.5,870.19,1975.31,6.77,86.04,0.58,4.51,13.47,0.38,1.95,Loam,Cassava
78.84,16.7,31.34,20.935640799999998,78.956661,5.83,993.01,1748.76,10.68,68.12,0.66,2.68,13.74,0.38,2.35,Loam,Soybeans
73.45,46.17,56.72,18.4145408,80.598011,5.86,1061.28,1754.31,17.09,60.02,0.7,4.45,18.43,0.51,2.74,Clay Loam,Irish Potatoes
79.88,78.23,46.38,16.8523808,80.553661,6.8,1072.41,1360.39,14.81,168.64,0.77,4.44,18.3,0.57,2.24,Sandy Clay,Irish Potatoes
120.1,64.8,87.97,23.5908008,69.431561,5.83,1113.99,1401.18,6.37,175.51,0.67,3.1,13.48,0.51,2.2,Sandy Clay,Maize
48.4,55.15,75.08,24.634320799999998,67.34266099999999,5.59,782.21,1624.42,2.57,7.74,0.62,3.56,15.84,0.37,1.69,Sandy Clay,Cassava
77.54,69.29,42.15,18.9002408,76.273461,5.65,930.37,1871.46,5.93,355.36,0.72,3.75,16.86,0.23,2.67,Sandy,Beans
51.56,16.43,81.9,23.1501008,62.417661,6.99,823.21,1456.53,14.04,6.52,0.59,4.88,14.91,0.31,1.88,Sandy Loam,Cassava
46.22,73.32,75.86,21.9889008,73.848861,5.85,857.45,1597.13,11.89,266.6,0.72,3.83,17.02,0.3,1.45,Loam,Cassava
56.67,10.87,22.31,21.845740799999998,72.104261,5.61,984.53,1728.71,5.64,271.12,0.62,4.83,18.85,0.24,1.13,Sandy,Sweet Potatoes
66.11,76.64,42.65,17.8426608,75.633211,6.94,994.32,1700.25,9.82,315.9,0.72,4.2,16.91,0.25,1.42,Loam,Irish Potatoes
40.76,51.67,57.14,24.174360800000002,60.0,6.73,870.36,1489.4,13.25,307.63,0.63,3.99,13.35,0.24,1.17,Sandy,Cassava
43.29,21.36,39.97,23.6433408,60.0,6.76,838.09,1479.91,12.58,242.09,0.62,3.65,16.31,0.57,1.61,Loam,Cassava
90.19,18.61,83.0,22.2190808,65.99031099999999,6.45,1045.74,1487.04,14.16,172.77,0.8,3.83,16.47,0.55,1.33,Loam,Soybeans
105.02,10.24,45.91,20.3745808,76.585211,5.55,1138.72,1479.29,16.16,48.7,0.78,4.46,15.81,0.58,2.65,Sandy Loam,Coffee
114.83,23.13,21.34,22.999540800000002,71.494661,5.9,962.61,1471.81,14.06,329.63,0.65,3.59,14.43,0.26,2.96,Sandy,Maize
112.49,51.02,44.61,20.4002208,70.071461,6.36,1197.97,1496.47,5.87,153.1,0.8,3.88,18.76,0.39,2.92,Sandy,Coffee
119.33,13.06,83.67,19.8050808,71.300111,6.99,1297.7,1759.04,17.52,282.09,0.64,4.11,16.19,0.21,1.29,Sandy Clay,Coffee
114.93,10.9,56.67,22.363380799999998,80.808961,6.77,1079.47,1799.89,17.46,153.98,0.73,3.96,14.77,0.3,2.64,Sandy Loam,Bananas
57.67,31.17,43.27,21.6224008,68.064261,6.88,1024.53,1545.38,9.06,249.04,0.78,2.71,14.57,0.59,1.92,Sandy,Sweet Potatoes
94.66,66.25,29.93,20.4876608,65.754611,5.64,1104.6,1807.75,2.72,136.07,0.55,3.92,13.95,0.24,2.98,Sandy Loam,Soybeans
102.25,18.07,24.66,23.9228008,68.964611,5.83,1166.6,1530.18,3.52,239.5,0.61,3.35,16.72,0.25,1.27,Sandy,Rice
66.19,77.48,97.63,19.9394408,71.366611,5.84,929.0,1781.86,11.53,54.02,0.81,2.56,18.17,0.59,1.86,Loam,Sweet Potatoes
104.13,40.07,64.59,19.2610608,78.868761,5.85,1151.43,1386.05,2.33,358.02,0.76,3.8,18.72,0.48,1.55,Sandy,Coffee
66.06,52.82,57.56,22.5593808,74.30486099999999,6.31,926.65,1361.89,14.52,37.97,0.59,2.97,14.96,0.26,2.76,Sandy Loam,Sweet Potatoes
44.33,35.11,62.73,21.0818808,71.37441100000001,6.25,914.56,1985.64,15.55,151.63,0.82,3.01,15.58,0.29,2.11,Sandy Clay,Cassava
53.38,74.46,33.72,22.326340799999997,67.686211,6.34,980.92,1778.41,3.25,44.15,0.78,3.05,17.55,0.4,1.47,Clay Loam,Sweet Potatoes
95.11,60.98,44.56,23.3485208,69.839311,5.84,1219.54,1762.32,10.99,261.58,0.73,2.9,17.91,0.45,1.22,Sandy Clay,Bananas
120.17,44.15,51.17,21.3680408,66.688211,6.88,1057.32,1867.56,3.61,210.48,0.64,3.24,18.11,0.38,2.38,Clay Loam,Maize
65.43,79.21,97.61,22.0036008,76.75321100000001,6.59,924.32,1534.78,16.71,156.08,0.79,3.24,18.53,0.44,1.88,Sandy Clay,Sweet Potatoes
45.19,30.78,38.12,23.0749408,69.32376099999999,6.83,912.43,1769.11,11.36,3.57,0.76,4.82,14.36,0.5,1.83,Clay Loam,Cassava
42.14,10.88,54.8,22.7869608,79.34706100000001,6.4,875.09,1998.1,3.34,27.62,0.6,3.98,17.21,0.46,2.94,Sandy Clay,Cassava
106.27,26.79,32.92,20.4261408,72.722411,6.41,1154.16,1778.51,4.76,215.84,0.84,3.06,17.29,0.42,2.81,Clay Loam,Coffee
92.11,64.74,32.05,22.1702808,71.794111,6.11,1134.5,1906.44,17.75,115.76,0.76,4.71,13.24,0.45,1.72,Clay Loam,Rice
55.2,69.69,82.23,22.4982008,79.181111,6.92,947.9,1567.48,4.38,159.73,0.66,3.94,14.46,0.28,1.87,Loam,Sweet Potatoes
86.04,55.64,25.97,17.3375408,66.692111,6.75,914.1,1992.81,10.02,127.98,0.68,3.83,16.96,0.46,2.47,Sandy Clay,Irish Potatoes
84.13,57.95,88.25,21.5353008,74.569811,5.59,1013.64,1718.93,8.16,172.76,0.6,3.42,14.74,0.45,2.1,Loam,Sorghum
84.77,55.45,68.52,22.2157408,82.0,6.16,1159.52,1353.71,17.29,96.56,0.77,2.6,17.53,0.53,1.58,Loam,Beans
84.79,75.35,50.47,20.876260799999997,71.08641100000001,6.73,1110.96,1903.45,2.34,221.05,0.64,2.59,18.29,0.47,1.82,Clay Loam,Soybeans
114.48,72.98,91.31,20.2028008,70.112261,6.53,1090.13,1415.18,16.23,201.2,0.75,2.92,13.16,0.57,1.68,Sandy,Coffee
105.87,65.45,93.68,22.1665008,62.622561000000005,5.62,1300.19,1743.33,12.7,6.53,0.84,2.84,14.89,0.56,1.47,Sandy,Bananas
42.47,12.82,93.97,22.093280800000002,79.92201100000001,6.87,884.08,1939.94,13.48,46.95,0.79,4.48,13.89,0.46,1.23,Loam,Cassava
96.45,23.22,39.78,22.8607008,71.24391100000001,6.26,1148.46,1536.23,7.72,323.23,0.8,4.74,18.19,0.35,1.64,Sandy Loam,Rice
96.24,47.96,83.58,22.2013408,74.49511100000001,6.47,1166.7,1360.91,11.62,267.4,0.58,4.02,18.06,0.42,1.89,Sandy Loam,Coffee
99.13,68.66,64.72,23.0399408,80.18036099999999,6.92,1223.75,1451.61,14.19,211.62,0.83,3.44,18.63,0.26,1.51,Sandy Loam,Rice
40.77,23.46,69.81,22.0772808,68.432311,5.88,834.14,1797.94,5.32,240.3,0.67,3.94,14.64,0.33,2.17,Sandy Loam,Cassava
68.25,21.98,63.08,17.0955408,77.891311,5.82,995.94,1338.81,9.81,137.31,0.83,2.78,16.15,0.36,2.56,Sandy Loam,Irish Potatoes
47.48,70.36,49.05,23.2195808,76.30886100000001,6.82,839.45,1456.79,15.74,221.77,0.68,4.33,13.49,0.43,1.37,Sandy,Cassava
98.79,64.4,55.89,21.558220799999997,73.992311,6.26,1198.14,1677.47,5.02,100.6,0.6,2.9,15.16,0.6,2.89,Loam,Bananas
93.75,20.89,31.14,22.6042408,61.819861,6.96,1257.65,1924.46,12.85,284.31,0.74,3.77,14.88,0.33,1.75,Loam,Rice
79.56,55.41,81.01,20.0487808,81.102611,6.96,996.2,1912.19,15.74,327.27,0.72,3.95,15.66,0.58,1.81,Clay Loam,Beans
113.52,57.65,40.3,23.1335608,67.506861,6.77,1049.05,1419.8,14.96,15.41,0.82,2.93,16.19,0.23,2.43,Loam,Maize
98.22,36.84,44.06,23.2024608,61.307911,5.55,889.26,1895.35,7.34,325.69,0.78,3.66,15.8,0.48,2.1,Sandy Loam,Sorghum
81.31,70.69,48.98,20.3593008,62.917011,5.84,1041.08,1941.93,14.75,56.73,0.7,3.76,18.46,0.36,1.29,Loam,Soybeans
43.26,36.06,55.55,23.0175008,79.546711,5.5,867.02,1612.83,11.95,199.31,0.82,4.52,14.95,0.27,2.96,Sandy Clay,Cassava
116.82,32.07,37.79,19.8215208,64.597361,5.88,1131.15,1580.82,8.87,334.92,0.56,3.71,17.25,0.59,1.93,Sandy,Coffee
66.22,18.19,89.78,20.575940799999998,61.62391100000001,6.49,1014.46,1903.61,17.62,264.71,0.77,4.69,13.45,0.48,1.11,Loam,Sweet Potatoes
49.29,44.61,21.55,21.9574408,60.221811,6.27,882.04,1717.86,6.59,56.91,0.8,3.46,16.61,0.56,2.24,Sandy Clay,Cassava
96.96,72.02,45.71,21.8721008,69.32856100000001,5.61,1183.39,1950.53,9.83,223.08,0.66,3.08,18.56,0.33,2.95,Sandy Loam,Bananas
61.13,38.2,65.05,22.4420608,63.343011,5.86,910.28,1600.55,13.15,0.31,0.69,2.58,14.95,0.59,1.91,Loam,Sweet Potatoes
53.06,60.36,74.52,20.0637608,81.63501099999999,6.14,968.68,1859.7,13.63,252.61,0.67,3.29,17.78,0.29,1.33,Sandy Loam,Sweet Potatoes
81.72,20.13,50.07,21.268940800000003,73.439961,6.8,1045.67,1737.11,2.28,142.88,0.65,3.21,14.4,0.54,1.64,Clay Loam,Soybeans
77.85,46.42,81.52,20.2930808,72.16981100000001,6.72,1105.64,1355.04,15.69,274.66,0.83,4.71,16.88,0.29,1.77,Sandy,Beans
95.49,45.73,38.47,23.0527408,80.324661,5.64,920.61,1735.21,3.81,285.33,0.74,3.07,14.29,0.46,1.09,Loam,Sorghum
47.16,21.78,94.98,22.6684208,73.476811,6.82,903.04,1847.37,16.59,34.2,0.6,4.69,17.13,0.22,2.46,Loam,Cassava
115.83,70.57,37.92,19.0436808,74.878911,6.25,1217.46,1509.74,4.64,342.75,0.81,3.48,14.37,0.38,2.48,Clay Loam,Coffee
50.52,53.68,87.56,23.1421408,81.380811,5.72,935.84,1645.51,8.96,245.71,0.82,4.23,17.27,0.57,2.01,Sandy Loam,Cassava
51.72,58.36,89.14,22.2886608,79.303961,6.27,812.47,1847.25,10.23,317.66,0.82,3.16,16.54,0.51,1.53,Sandy Clay,Cassava
84.25,76.82,35.75,22.7560208,80.39111100000001,6.59,1273.9,1808.57,4.17,267.87,0.75,4.28,16.47,0.24,2.7,Sandy,Bananas
102.44,79.35,53.98,20.3106808,68.105711,6.9,1068.82,1841.24,11.7,280.98,0.73,3.85,18.01,0.27,2.93,Sandy Loam,Coffee
49.18,35.66,67.24,21.1250808,81.669811,6.68,979.64,1849.04,7.26,293.95,0.67,4.42,15.59,0.23,1.18,Clay Loam,Sweet Potatoes
64.59,53.77,28.71,19.9415608,60.188311,5.95,1011.34,1890.8,14.74,220.68,0.82,4.33,15.21,0.56,1.36,Sandy Loam,Sweet Potatoes
114.22,18.38,85.45,22.1624808,77.859361,6.11,1071.55,1560.34,9.87,77.81,0.8,4.3,16.73,0.26,2.44,Loam,Maize
77.5,43.39,68.47,18.306240799999998,73.941861,6.47,1008.05,1313.46,9.27,326.12,0.76,2.94,14.65,0.31,2.93,Sandy Clay,Irish Potatoes
97.19,38.92,34.12,22.9855008,64.715411,5.59,1014.76,1873.83,17.96,127.65,0.62,3.03,16.25,0.37,2.32,Sandy Loam,Sorghum
